label_id,alert_uid,scenario_id,campaign_id,run_id,agent_name,timestamp,label,event_role,simulation_type,execution_mode,tool,atomic_test_id,caldera_operation_id,caldera_ability_id,mitre_tactic,mitre_technique_id,rule_id,rule_description,confidence,ground_truth_summary,notes
LBL-000001,ALERT-939476A8BF516E30,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:36.705-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Privilege Escalation/Defense Evasion,T1548.003,5402,Successful sudo to ROOT executed.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000002,ALERT-5B982204218E8B15,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:36.705-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Defense Evasion/Persistence/Privilege Escalation/Initial Access,T1078,5501,PAM: Login session opened.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000003,ALERT-50CAAC0A95F045B8,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.307-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Privilege Escalation/Defense Evasion,T1548.003,5402,Successful sudo to ROOT executed.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000004,ALERT-1CD67E9F7F441169,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.307-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Defense Evasion/Persistence/Privilege Escalation/Initial Access,T1078,5501,PAM: Login session opened.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000005,ALERT-3C139C9EA59D6AA5,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.311-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2901,New dpkg (Debian Package) requested to install.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000006,ALERT-F448F208283FD85E,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.328-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2904,Dpkg (Debian Package) half configured.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000007,ALERT-431ECCF4A088C9AB,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.330-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2902,New dpkg (Debian Package) installed.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000008,ALERT-CE4A13BE778D3E2D,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.335-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2904,Dpkg (Debian Package) half configured.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000009,ALERT-BD031D2CEEC3BA5C,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:38.707-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2902,New dpkg (Debian Package) installed.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000010,ALERT-A57B1C491294A5AE,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:39.323-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,5502,PAM: Login session closed.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
LBL-000011,ALERT-5410A591ADDD1117,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:39.323-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,5502,PAM: Login session closed.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Draft label from Sprint 8 automated correlation. Source file=C-LNX-01-CAL-R001_alerts.jsonl; manual review recommended.
