case_id,run_id,campaign_id,scenario_id,case_type,agent_name,start_ts,end_ts,execution_mode,tool,expected_raw_alert_count,expected_trigger_alert_count,expected_supporting_alert_count,expected_duplicate_alert_count,expected_noise_alert_count,candidate_link_rows,primary_link_rows,case_window_link_rows,unique_phase3_alert_count_all_candidates,unique_phase3_alert_count_primary,match_status,primary_phase3_alert_uids,all_candidate_phase3_alert_uids,case_summary,analyst_expected_conclusion
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,run_case,safesoc-lnx-01,2026-05-14T23:41:36.705-0400,2026-05-14T23:42:39.324-0400,caldera,MITRE Caldera,13,2,11,0,0,15,13,0,13,12,matched,alert_0567bf745802a2829deaddb9b0695713;alert_06db4c810b3569c27db965ed32d8846e;alert_4017c33d02fbf1db35548b824622f880;alert_5a7a1b0c0c585b6aa55ee8fdef2593d0;alert_6154552463c51101b90bbcf30b46f8c4;alert_ae6608b9e2c22fb748d6201b5d4be3be;alert_bf2146789d173a6102e330b7587e61b4;alert_c2cc910e3ee66eb7b417f0332048a807;alert_cd0e6f6c65fde6722329ded4854169ba;alert_d70d2216e6946a7b384d63ba4998bcaf;alert_da6c986cd9e7e30c8f13d2481dcac1ec;alert_f0cb9b19cbbf4864af8a099dbc956562,alert_0567bf745802a2829deaddb9b0695713;alert_06db4c810b3569c27db965ed32d8846e;alert_2540aea2d731e54815f2a0c8ce40f6d5;alert_4017c33d02fbf1db35548b824622f880;alert_5a7a1b0c0c585b6aa55ee8fdef2593d0;alert_6154552463c51101b90bbcf30b46f8c4;alert_ae6608b9e2c22fb748d6201b5d4be3be;alert_bf2146789d173a6102e330b7587e61b4;alert_c2cc910e3ee66eb7b417f0332048a807;alert_cd0e6f6c65fde6722329ded4854169ba;alert_d70d2216e6946a7b384d63ba4998bcaf;alert_da6c986cd9e7e30c8f13d2481dcac1ec;alert_f0cb9b19cbbf4864af8a099dbc956562,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-002,C-LNX-01-CAL-R002,C-LNX-01,,run_case,safesoc-lnx-01,2026-05-15T00:12:25.208-0400,2026-05-15T00:32:42.280-0400,caldera,MITRE Caldera,46,2,21,23,0,46,0,46,46,0,matched,,alert_06f6981dc00c329728d0d26584cf6dc8;alert_0979ef4987e794424fe8752439075c85;alert_0bfc927b223997dc951992fb02958ad9;alert_140da7a43a96707cb9a3e22982a30ee9;alert_1d39b82b4113290972205c7d20f2bcdb;alert_23fac5cc155be36065ebd67ae5f8bc04;alert_2599624a07a1ccc0a8564d342e20c9c4;alert_33c770638750ab5e018d7d55e4176482;alert_3fa55d74288fe577df1ddc5dc2f7dbf3;alert_4476f3027ccfc4f9e9dfa707cfd94272;alert_44a497977762d54b562ca5203de6ed49;alert_478fdf22923452053648e5270472342b;alert_480099bea9d0d9508dc5b95120b8b832;alert_4ff7f5184d936730a1989f1bd07d7bbe;alert_50351c786fe82db569b72f2d3445d664;alert_6fdc9b43038a1ae73cd5b9f769497e48;alert_75cf829888385297bd60fc9d4a464ee3;alert_76d0d4fc598cb74cab3965b5e8b96b42;alert_888cded6f8e58c7a79421b7bccd4bb0a;alert_88dca1ef4416760f907b57aa22fce4ef;alert_937d72c1a6fb0e3fd0ca36aac2a0af12;alert_97dd267337a0d4a5a460eca85db66e0d;alert_98a1a1a9a81af49cad7abed32c188b07;alert_9b72d4f53868252abd7c9b7cf2f166d8;alert_9d63e16e6f40455707b06a284fc52190;alert_a37585bddcd7ea022affbd0a3479ca7e;alert_ab9167f77ba3daa33923546daf36880d;alert_ad2fa4f597d53eea70e427da6820eda4;alert_aef6bbbcfff23b82abbc57829872dba5;alert_af59056d053e748bd5eab8790936aedc;alert_b33b5fc848caa889c60208a48d013eab;alert_b471e380772ea83c9dbdfe8ff7cc5922;alert_b772073e47746022f63cf842856b8974;alert_b90ff27a986a8d1b9dc96797e81448d4;alert_ba6044a3b2c3183f3c26059c4bf8ab13;alert_c3335b87e1744fe8b8da7ee4e2a8d973;alert_c4b28b87dba482fb99f6d50fd8a23a8c;alert_c5ef0cea5772ddcb18fe4ed69a65ef15;alert_d5b5e0a0d4fa0095394859878223446f;alert_d5ea6b838bdebc86b0c373ea1250a521;alert_de67d767d272892003f13fb2c23c62dc;alert_defc8a080ea91a416ad0e26fe2dd7fe8;alert_e0b3172d3397cbbf651202a5097831d7;alert_e2ef466d6bf13950e4fa2058945581fd;alert_ef6eeb53b37dee18618d45c8caff1314;alert_f5e0b4cfda5e1ed08f1828d59770d53d,"Run-level investigation case for C-LNX-01-CAL-R002, containing 46 correlated labeled alerts across 1 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-003,C-LNX-01-CAL-R003,C-LNX-01,,run_case,safesoc-lnx-01,2026-05-15T00:00:01.795-0400,2026-05-15T00:55:36.666-0400,caldera,MITRE Caldera,105,2,27,76,0,105,0,105,105,0,matched,,alert_06f6981dc00c329728d0d26584cf6dc8;alert_091de3f73da3e430ec43e12b6af3f715;alert_0979ef4987e794424fe8752439075c85;alert_0b8c52746073a99194febb639f129bf3;alert_0bfc927b223997dc951992fb02958ad9;alert_13d1f5df6838c654908854bfaab6a29a;alert_140da7a43a96707cb9a3e22982a30ee9;alert_14af51cd7e05e1f0e010aafeebc3fd8f;alert_151b35b132eac6fe0803b9dbd64c0ebe;alert_1d39b82b4113290972205c7d20f2bcdb;alert_23fac5cc155be36065ebd67ae5f8bc04;alert_24cc62dfad16e1734301c6dfc5c54e77;alert_2599624a07a1ccc0a8564d342e20c9c4;alert_29cc17c22bdb23e534041fb6d523d54e;alert_2e011adf97779cd6ad1b720f5922f6bd;alert_2f15db5cf4adc22651549189f8e2f318;alert_33c770638750ab5e018d7d55e4176482;alert_38956ea3a951729ae80cfe0d429dfe84;alert_3fa55d74288fe577df1ddc5dc2f7dbf3;alert_433240bdfa10338cfc20a6216f9f40a6;alert_4476f3027ccfc4f9e9dfa707cfd94272;alert_44a497977762d54b562ca5203de6ed49;alert_450a087200ab4e28f6a3e5ee78a403cc;alert_456360d4b556aaa9d7702c3583efd276;alert_478fdf22923452053648e5270472342b;alert_47e25efb84f3d3ea948918039b1804a7;alert_480099bea9d0d9508dc5b95120b8b832;alert_48f8efc5d95dd6683d4b0f617851eef0;alert_4ff7f5184d936730a1989f1bd07d7bbe;alert_50351c786fe82db569b72f2d3445d664;alert_5056346342547c123df347bcb3442e21;alert_52522fe855c65d38484e1aa145e51516;alert_5537606c14611f46c21b813f291e4fcf;alert_5ae871e26d8e3d32d7929d321a6cc01b;alert_5e095d0b95c3b19d9199e6232e340a27;alert_5e6e8e13c3672c50a24a8fbaabf42982;alert_5fe71c497a29c6830dac8595e60a1867;alert_622095d23111454bca476e7e766ea898;alert_64b61860109761fea22b6cc2c286845a;alert_69435b3a6ecde82c9034bf4a98b52f21;alert_6dafbc4d1f60683b3e9bef10281208a6;alert_6fdc9b43038a1ae73cd5b9f769497e48;alert_7045bf476109cce3f71a0709c5f0e695;alert_75cf829888385297bd60fc9d4a464ee3;alert_76c8083f52cf3f4528a8a487aff2f32d;alert_76d0d4fc598cb74cab3965b5e8b96b42;alert_77427513d644307cced04c1c0565ed30;alert_7fdc6cb08a06f8e1b262cdb475bc895d;alert_82256d95870195c1d0edc2117007c601;alert_835a12cff16d961e01846dc000c274da;alert_888cded6f8e58c7a79421b7bccd4bb0a;alert_88dca1ef4416760f907b57aa22fce4ef;alert_8fbafcd9c04d86e603d06d53e17950f0;alert_92d2685741225e48843b3b6b59b4e7e7;alert_937d72c1a6fb0e3fd0ca36aac2a0af12;alert_94bc983ca853dc2f6e0d5e9d83516263;alert_97dd267337a0d4a5a460eca85db66e0d;alert_97f7cc47f6aecd94f9ebda4d147bfb05;alert_98a1a1a9a81af49cad7abed32c188b07;alert_99d99ad3853dd4b824c1a870d1a45753;alert_9b72d4f53868252abd7c9b7cf2f166d8;alert_9ca8020857ea42bdca8dae3a5bef1588;alert_9d63e16e6f40455707b06a284fc52190;alert_a37585bddcd7ea022affbd0a3479ca7e;alert_a9f61d6260bb0d97f821d539356e1864;alert_a9fbe17a37d31aee1aa51d98772c03d1;alert_ab9167f77ba3daa33923546daf36880d;alert_ad2fa4f597d53eea70e427da6820eda4;alert_aef6bbbcfff23b82abbc57829872dba5;alert_aef881da04c81f665f135fc6945c7761;alert_af59056d053e748bd5eab8790936aedc;alert_b33b5fc848caa889c60208a48d013eab;alert_b471e380772ea83c9dbdfe8ff7cc5922;alert_b47409242d107c4960a4d967b040fe2d;alert_b772073e47746022f63cf842856b8974;alert_b86731fe3e1075e49d39aed9682ff78b;alert_b90ff27a986a8d1b9dc96797e81448d4;alert_b9bb31ef40772a5031282cf9278a7f84;alert_ba6044a3b2c3183f3c26059c4bf8ab13;alert_bca41cf268f0c50735241cdc0f4f47fb;alert_c3335b87e1744fe8b8da7ee4e2a8d973;alert_c3ee04a3c18b3d4e282b7d6e5d67b6da;alert_c4b28b87dba482fb99f6d50fd8a23a8c;alert_c4d207d67f0052e49f6abfb06321dd30;alert_c5ef0cea5772ddcb18fe4ed69a65ef15;alert_c7a0b08e6599ce96f2ea2fd72bad9bdf;alert_c97cc3ae65c8a9255b26d45eb13bac34;alert_cc98016df785b427e894739dcc1120bf;alert_ccbb9a6978a10259f96e5430923a64ac;alert_cd7152715e0e084b5a84ce4c482813e2;alert_d5b5e0a0d4fa0095394859878223446f;alert_d5ea6b838bdebc86b0c373ea1250a521;alert_de67d767d272892003f13fb2c23c62dc;alert_defc8a080ea91a416ad0e26fe2dd7fe8;alert_dfa7905b305c68e27a65a5b77cb72b81;alert_e0b3172d3397cbbf651202a5097831d7;alert_e0f06dd0f9dc90c0e44bc2003d6a9f56;alert_e2ef466d6bf13950e4fa2058945581fd;alert_e8d22639d9236eb015dbf21229dab32c;alert_ef3a48fe8e1e2b974f77c954d33d52fb;alert_ef6eeb53b37dee18618d45c8caff1314;alert_f49267cdd61df1147437b7316c42a8dc;alert_f5e0b4cfda5e1ed08f1828d59770d53d;alert_f6d6c4a4a08c03779b7e520f815ab4c2;alert_fe0603a32095b8c037cf01bb0768199d,"Run-level investigation case for C-LNX-01-CAL-R003, containing 105 correlated labeled alerts across 2 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-004,C-WIN-01-CAL-R001,C-WIN-01,,run_case,safesoc-win-01,2026-05-14T20:08:30.984-0400,2026-05-14T20:09:36.451-0400,caldera,MITRE Caldera,2,2,0,0,0,2,2,0,2,2,matched,alert_0c374b6045c83902761597a1c1eeced4;alert_7d14275fea457228340690ed77024a95,alert_0c374b6045c83902761597a1c1eeced4;alert_7d14275fea457228340690ed77024a95,"Run-level investigation case for C-WIN-01-CAL-R001, containing 2 correlated labeled alerts across 2 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-005,C-WIN-01-CAL-R002,C-WIN-01,,run_case,safesoc-win-01,2026-05-14T20:45:58.997-0400,2026-05-14T20:48:15.094-0400,caldera,MITRE Caldera,10,2,4,4,0,10,10,0,10,10,matched,alert_04e44f03655c1a3ca5b31d77968edf38;alert_1845e5d0766fc9849b6c1eb6b36c626d;alert_264ef97481c8aff98f0259dd734e9fc4;alert_5e2dd10e99025fdb1f4fd9d2d7616e3c;alert_6ab67ee6cfee4922b36df3d5aeb49030;alert_6dd48aa771d01c06e6eab8f089702383;alert_b1905f8c1d34178fa99d0c62ba6d2dcb;alert_c16a33c718284933b5652bf5c6ae3ddd;alert_d55f74975c229afb36e64c3578a24bd7;alert_f5d90b8cfd2d2ea452c32f9fe12b5ed4,alert_04e44f03655c1a3ca5b31d77968edf38;alert_1845e5d0766fc9849b6c1eb6b36c626d;alert_264ef97481c8aff98f0259dd734e9fc4;alert_5e2dd10e99025fdb1f4fd9d2d7616e3c;alert_6ab67ee6cfee4922b36df3d5aeb49030;alert_6dd48aa771d01c06e6eab8f089702383;alert_b1905f8c1d34178fa99d0c62ba6d2dcb;alert_c16a33c718284933b5652bf5c6ae3ddd;alert_d55f74975c229afb36e64c3578a24bd7;alert_f5d90b8cfd2d2ea452c32f9fe12b5ed4,"Run-level investigation case for C-WIN-01-CAL-R002, containing 10 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-006,S01-ART-R001,,S01,run_case,safesoc-win-01,2026-05-14T18:21:29.564-0400,2026-05-14T18:29:34.513-0400,atomic_red_team,Atomic Red Team,24,1,3,18,2,24,0,24,24,0,matched,,alert_01f316f65401c4f5fff19acb94f966ec;alert_02dacd4ad31ba6f8f43a794c6feb8611;alert_06ee1421cd664fae09b3508a66ef53f2;alert_0f1282b431887ac07d64846d603d3f7a;alert_14c2f4a53521f7d45e1f6e6d204274c1;alert_150a3ba55d40855a87cd21c111540485;alert_2388f9d0a35cc85cdcb8964e0b5c7571;alert_381b0c6cfd1e5b06dc4fec43c91d49cf;alert_4d57b212336e170b166c86df8fe663d4;alert_5e22bc4530e7bea562502b2320a01a01;alert_6469ced1502c16ff96de12d30ca2c4bd;alert_7b0b25434c358f8649350a5d477b9806;alert_8bd000be31da704f06dd6037ab4347b4;alert_936928ae96b2f91a37ebdc1b22600c87;alert_9c354907632c4e16f5d557668c020487;alert_9c4c4101288c9025d5a59406363a83a5;alert_9cc611904e53623dd68500308fa950dc;alert_cae7f41c1399692c7a623bb63a800526;alert_d355b9c4698c8dc3c92873741010580d;alert_d66f47f1aea38acaa8505f834541e46b;alert_e3ceeacd9bcee500dcd8a06a576c2661;alert_ed3bbc5a90607513e1a503c4c5a0198f;alert_f4ab0967c67dc0d052b0619ab7620ecd;alert_fdc419ae31e38475827cce8aad53747a,"Run-level investigation case for S01-ART-R001, containing 24 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-007,S02-ART-R001,,S02,run_case,safesoc-win-01,2026-05-14T18:21:29.564-0400,2026-05-14T18:36:08.048-0400,atomic_red_team,Atomic Red Team,32,1,0,28,3,32,32,0,32,32,matched,alert_01f316f65401c4f5fff19acb94f966ec;alert_02dacd4ad31ba6f8f43a794c6feb8611;alert_06ee1421cd664fae09b3508a66ef53f2;alert_0f1282b431887ac07d64846d603d3f7a;alert_14c2f4a53521f7d45e1f6e6d204274c1;alert_150a3ba55d40855a87cd21c111540485;alert_20793c7c0585019420da0cc56b19399f;alert_2388f9d0a35cc85cdcb8964e0b5c7571;alert_26f90df62c1c2c7608129785b72f83d4;alert_381b0c6cfd1e5b06dc4fec43c91d49cf;alert_48e3a534deec886a7ae74f80a8b7adad;alert_4d57b212336e170b166c86df8fe663d4;alert_5e22bc4530e7bea562502b2320a01a01;alert_6469ced1502c16ff96de12d30ca2c4bd;alert_654acc1335e6a0ae0cb38c06aa9d991a;alert_7b0b25434c358f8649350a5d477b9806;alert_8bd000be31da704f06dd6037ab4347b4;alert_936928ae96b2f91a37ebdc1b22600c87;alert_9c354907632c4e16f5d557668c020487;alert_9c4c4101288c9025d5a59406363a83a5;alert_9cc611904e53623dd68500308fa950dc;alert_b3c7a303c9945718185bda3afc69a10f;alert_cae7f41c1399692c7a623bb63a800526;alert_d355b9c4698c8dc3c92873741010580d;alert_d66f47f1aea38acaa8505f834541e46b;alert_d956cfec54efe9b7a1d410e4a4cac689;alert_e3ceeacd9bcee500dcd8a06a576c2661;alert_ed3bbc5a90607513e1a503c4c5a0198f;alert_f4ab0967c67dc0d052b0619ab7620ecd;alert_f6ee09f428e06e885ebde5dcc2708734;alert_fc1f14dcf2fff375983ce256cc2a019a;alert_fdc419ae31e38475827cce8aad53747a,alert_01f316f65401c4f5fff19acb94f966ec;alert_02dacd4ad31ba6f8f43a794c6feb8611;alert_06ee1421cd664fae09b3508a66ef53f2;alert_0f1282b431887ac07d64846d603d3f7a;alert_14c2f4a53521f7d45e1f6e6d204274c1;alert_150a3ba55d40855a87cd21c111540485;alert_20793c7c0585019420da0cc56b19399f;alert_2388f9d0a35cc85cdcb8964e0b5c7571;alert_26f90df62c1c2c7608129785b72f83d4;alert_381b0c6cfd1e5b06dc4fec43c91d49cf;alert_48e3a534deec886a7ae74f80a8b7adad;alert_4d57b212336e170b166c86df8fe663d4;alert_5e22bc4530e7bea562502b2320a01a01;alert_6469ced1502c16ff96de12d30ca2c4bd;alert_654acc1335e6a0ae0cb38c06aa9d991a;alert_7b0b25434c358f8649350a5d477b9806;alert_8bd000be31da704f06dd6037ab4347b4;alert_936928ae96b2f91a37ebdc1b22600c87;alert_9c354907632c4e16f5d557668c020487;alert_9c4c4101288c9025d5a59406363a83a5;alert_9cc611904e53623dd68500308fa950dc;alert_b3c7a303c9945718185bda3afc69a10f;alert_cae7f41c1399692c7a623bb63a800526;alert_d355b9c4698c8dc3c92873741010580d;alert_d66f47f1aea38acaa8505f834541e46b;alert_d956cfec54efe9b7a1d410e4a4cac689;alert_e3ceeacd9bcee500dcd8a06a576c2661;alert_ed3bbc5a90607513e1a503c4c5a0198f;alert_f4ab0967c67dc0d052b0619ab7620ecd;alert_f6ee09f428e06e885ebde5dcc2708734;alert_fc1f14dcf2fff375983ce256cc2a019a;alert_fdc419ae31e38475827cce8aad53747a,"Run-level investigation case for S02-ART-R001, containing 32 correlated labeled alerts across 8 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-008,S02-MAN-R001,,S02,run_case,safesoc-win-01,2026-05-14T18:09:35.760-0400,2026-05-14T18:21:29.593-0400,manual,manual,7,1,1,1,4,7,7,0,7,7,matched,alert_2388f9d0a35cc85cdcb8964e0b5c7571;alert_2e8c28788d3001f660b24180b333b211;alert_3ed6d07c45e6e3c499ef55c0d141898d;alert_40efb34c7e5060fde0f3e0e09859b303;alert_6469ced1502c16ff96de12d30ca2c4bd;alert_db5471805f13d174758bd05b46a6350b;alert_dcb845b106f11350ec6334584e84c1fe,alert_2388f9d0a35cc85cdcb8964e0b5c7571;alert_2e8c28788d3001f660b24180b333b211;alert_3ed6d07c45e6e3c499ef55c0d141898d;alert_40efb34c7e5060fde0f3e0e09859b303;alert_6469ced1502c16ff96de12d30ca2c4bd;alert_db5471805f13d174758bd05b46a6350b;alert_dcb845b106f11350ec6334584e84c1fe,"Run-level investigation case for S02-MAN-R001, containing 7 correlated labeled alerts across 7 Wazuh rule IDs.","Analyst should treat this as a weak-detection case: the scenario was attempted, but the observable telemetry is too weak or off-target to support a confident attack-like conclusion."
CASE-009,S03-ART-R001,,S03,run_case,safesoc-win-01,2026-05-14T19:09:26.105-0400,2026-05-14T19:17:18.486-0400,atomic_red_team,Atomic Red Team,8,1,0,2,5,8,0,8,8,0,matched,,alert_33f0648d24f33973f6de727be9877fb1;alert_6766453f0fc837cd3bbaa9b32298911e;alert_6ed4378aa7a6192e932495f826cb7d6c;alert_7775a1961fbbf3abd057749b380889c8;alert_78e7de7617e7578ce29535be9902c904;alert_ad1ffb201c29fe4962a3e1d7929a4d29;alert_b8f7a761b3649ed3f1ad51ec4020ce7b;alert_d373414cbcb9d144e579eefc0e0936c2,"Run-level investigation case for S03-ART-R001, containing 8 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should treat this as a weak-detection case: the scheduled-task scenario was attempted, but the observed telemetry is too weak or off-target to support a confident attack-like conclusion."
CASE-010,S04-ART-R001,,S04,run_case,safesoc-win-01,2026-05-14T19:32:11.048-0400,2026-05-14T19:34:20.786-0400,atomic_red_team,Atomic Red Team,16,1,1,12,2,16,0,16,16,0,matched,,alert_1e581832d64874621a647e547535367f;alert_3364ed8e3d943cfc21b3e5f5afe71bc1;alert_4a73a981da3e432fd969a17c902cba5a;alert_7e95803201b53dd8428d3666bd2cef69;alert_860d571d8a77dcb0a670aed408f3c2ef;alert_9291c0c3dbb5fa402dc2ed0d52d858db;alert_9760d1999b1df456d3a5ddc9ec716a7d;alert_b225e93a16e8ccc94fbd92bb8d8ca4aa;alert_b7e345b7bd62e5f67b00ad1145920b2a;alert_c97cc6b91f58c49eb79556ba29a26ada;alert_cfbda1e7da96a8b820fa771dc7defe90;alert_d1af516bb0e6c7e3dd34119c2a6acfb4;alert_d33c36d327ef4c0849b1ad9118655ae7;alert_dfe4f772498c4b25c4cc24adfc89f89a;alert_e044dd66a27b2cc3f7f2a5358032745e;alert_e794c701ad27ab8abfb0b950c0c8f5dd,"Run-level investigation case for S04-ART-R001, containing 16 correlated labeled alerts across 4 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
