run_id,scenario_id,campaign_id,scenario_name,scenario_type,simulation_type,execution_mode,tool,atomic_test_id,caldera_operation_id,caldera_adversary_profile,caldera_ability_id,host,operator,start_ts,end_ts,commands_file,evidence_ids,wazuh_query,expected_signal,cleanup_status,notes
S11-MAN-R001,S11,,Linux admin maintenance,benign,benign_baseline,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T15:23:40.630-04:00,2026-05-14T15:35:38.863-04:00,S11_commands.txt,EVD-S04-S11-R001-008-wazuh-events-export,"agent.name:""safesoc-lnx-01""",Linux benign admin telemetry,not_required_or_documented,Derived during Sprint 7 from 16 evidence CSV event rows with a 2-minute correlation buffer.
S11-MAN-R002,S11,,Linux admin maintenance,benign,benign_baseline,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T16:51:54.779-04:00,2026-05-14T16:56:34.791-04:00,S11_commands.txt,EVD-S04-S11-R002-008-wazuh-events-export,"agent.name:""safesoc-lnx-01""",Linux benign admin telemetry,not_required_or_documented,Derived during Sprint 7 from 16 evidence CSV event rows with a 2-minute correlation buffer.
S11-MAN-R003,S11,,Linux admin maintenance,benign,benign_baseline,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T17:17:39.478-04:00,2026-05-14T17:22:17.552-04:00,S11_commands.txt,EVD-S04-S11-R003-008-wazuh-events-export,"agent.name:""safesoc-lnx-01""",Linux benign admin telemetry,not_required_or_documented,Derived during Sprint 7 from 16 evidence CSV event rows with a 2-minute correlation buffer.
S12-MAN-R002,S12,,Authentication typo noise,ambiguous_noise,benign_noise,manual,manual,,,,,safesoc-win-01,msolimann,2026-05-14T17:22:35.958-04:00,2026-05-14T17:34:36.421-04:00,S12_commands.txt,EVD-S04-S12-R002-006-wazuh-events-export,"agent.name:""safesoc-win-01""",Authentication typo/noise telemetry,not_required_or_documented,Derived during Sprint 7 from 14 evidence CSV event rows with a 2-minute correlation buffer.
S02-MAN-R001,S02,,Windows discovery sequence,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-win-01,msolimann,2026-05-14T18:07:35.760-04:00,2026-05-14T18:23:29.593-04:00,S02_commands.txt,wazuh,"agent.name:""safesoc-win-01""",Windows discovery telemetry,not_required_or_documented,Derived during Sprint 7 from 7 evidence CSV event rows with a 2-minute correlation buffer.
S01-ART-R001,S01,,PowerShell execution,attack_like,atomic_validation,atomic_red_team,Atomic Red Team,T1059.001,,,,safesoc-win-01,msolimann,2026-05-14T18:19:29.564-04:00,2026-05-14T18:31:34.513-04:00,S01_commands.txt,wazuh-art-mimikatz,"agent.name:""safesoc-win-01""",PowerShell/Sysmon telemetry,not_required_or_documented,Derived during Sprint 7 from 24 evidence CSV event rows with a 2-minute correlation buffer.
S02-ART-R001,S02,,Windows discovery sequence,attack_like,atomic_validation,atomic_red_team,Atomic Red Team,T1082/T1033/T1016,,,,safesoc-win-01,msolimann,2026-05-14T18:19:29.564-04:00,2026-05-14T18:38:08.048-04:00,S02_commands.txt,wazuh-art-s02,"agent.name:""safesoc-win-01""",Windows discovery telemetry,not_required_or_documented,Derived during Sprint 7 from 32 evidence CSV event rows with a 2-minute correlation buffer.
S03-ART-R001,S03,,Scheduled task marker,attack_like,atomic_validation,atomic_red_team,Atomic Red Team,T1053.005,,,,safesoc-win-01,msolimann,2026-05-14T19:07:26.105-04:00,2026-05-14T19:17:49.310-04:00,S03_commands.txt,wazuh,"agent.name:""safesoc-win-01""",Scheduled task telemetry,not_required_or_documented,Derived during Sprint 7 from 7 evidence CSV event rows with a 2-minute correlation buffer.
S04-ART-R001,S04,,Archive staging behavior,attack_like,atomic_validation,atomic_red_team,Atomic Red Team,T1560.001,,,,safesoc-win-01,msolimann,2026-05-14T19:30:11.048-04:00,2026-05-14T19:36:20.786-04:00,S04_commands.txt,wazuh,"agent.name:""safesoc-win-01""",Archive/file staging telemetry,not_required_or_documented,Derived during Sprint 7 from 16 evidence CSV event rows with a 2-minute correlation buffer.
C-WIN-01-CAL-R001,,C-WIN-01,Windows foothold-to-staging campaign,campaign,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,TBD_FROM_CALDERA_UI,,safesoc-win-01,msolimann,2026-05-14T19:59:02.000-04:00,2026-05-14T20:10:30.984-04:00,,C-WIN-01-CAL-R001_csv;exfil,"agent.name:""safesoc-win-01""",Windows Caldera campaign telemetry,not_required_or_documented,Derived during Sprint 7 from 10 evidence CSV event rows with a 2-minute correlation buffer.
