case_id,case_type,run_id,campaign_id,raw_alert_count,meaningful_alert_count,suppression_candidate_count,duplicate_alert_count,noise_alert_count,duplicate_ratio,compression_potential,unique_rule_count,dominant_label,analyst_expected_conclusion
CASE-001,run_case,C-LNX-01-CAL-R001,C-LNX-01,13,13,0,0,0,0.0000,0.0000,6,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-002,run_case,C-LNX-01-CAL-R002,C-LNX-01,46,23,23,23,0,0.5000,0.5000,1,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-003,run_case,C-LNX-01-CAL-R003,C-LNX-01,105,29,76,76,0,0.7238,0.7238,2,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-004,run_case,C-WIN-01-CAL-R001,C-WIN-01,2,2,0,0,0,0.0000,0.0000,2,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-005,run_case,C-WIN-01-CAL-R002,C-WIN-01,10,6,4,4,0,0.4000,0.4000,6,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-006,run_case,S01-ART-R001,,24,4,20,18,2,0.7500,0.8333,6,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-007,run_case,S02-ART-R001,,32,1,31,28,3,0.8750,0.9688,8,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-008,run_case,S02-MAN-R001,,7,2,5,1,4,0.1429,0.7143,7,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-009,run_case,S03-ART-R001,,8,1,7,2,5,0.2500,0.8750,6,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-010,run_case,S04-ART-R001,,16,2,14,12,2,0.7500,0.8750,4,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-011,run_case,S07-MAN-R001,,51,51,0,0,0,0.0000,0.0000,12,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-012,run_case,S07-MAN-R002,,9,9,0,0,0,0.0000,0.0000,3,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-013,run_case,S08-MAN-R001,,18,18,0,0,0,0.0000,0.0000,9,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-014,run_case,S08-MAN-R002,,10,10,0,0,0,0.0000,0.0000,5,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-015,run_case,S09-MAN-R001,,13,13,0,0,0,0.0000,0.0000,7,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-016,run_case,S09-MAN-R002,,37,37,0,0,0,0.0000,0.0000,8,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-017,run_case,S10-MAN-R001,,49,12,37,37,0,0.7551,0.7551,8,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-018,run_case,S10-MAN-R002,,83,52,31,5,26,0.0602,0.3735,10,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
