id,type,platform,tactic,technique_id,technique_name,confidence,notes
S01,scenario,Windows,Execution,T1059.001,PowerShell,high,Manual Atomic and Caldera-supported
S02,scenario,Windows,Discovery,T1082,System Information Discovery,high,Windows discovery
S02,scenario,Windows,Discovery,T1033,System Owner/User Discovery,high,Windows user discovery
S02,scenario,Windows,Discovery,T1016,System Network Configuration Discovery,high,Windows network discovery
S03,scenario,Windows,Persistence,T1053.005,Scheduled Task,medium,Harmless marker task
S04,scenario,Windows,Collection,T1560.001,Archive via Utility,medium,Synthetic archive only
S07,scenario,Linux,Credential Access,T1110.001,Password Guessing,medium,Controlled failed login only
S08,scenario,Linux,Privilege Escalation,T1548.003,Sudo and Sudo Caching,medium,Sudo/PAM telemetry
S09,scenario,Linux,Discovery,T1082,System Information Discovery,high,Linux discovery
S09,scenario,Linux,Discovery,T1033,System Owner/User Discovery,high,Linux user discovery
S09,scenario,Linux,Discovery,T1016,System Network Configuration Discovery,high,Linux network discovery
S10,scenario,Linux,Persistence,T1053.003,Cron,medium,Harmless cron marker
C-WIN-01,campaign,Windows,Multiple,Multiple,Windows campaign chain,high,PowerShell discovery scheduled task archive
C-LNX-01,campaign,Linux,Multiple,Multiple,Linux campaign chain,high,SSH sudo discovery cron
