label_id,alert_uid,scenario_id,campaign_id,run_id,agent_name,timestamp,label,event_role,simulation_type,execution_mode,tool,atomic_test_id,caldera_operation_id,caldera_adversary_profile,caldera_ability_id,mitre_tactic,mitre_technique_id,rule_id,rule_description,confidence,ground_truth_summary,notes
LBL-000001,ALERT-939476A8BF516E30,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:36.705-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Privilege Escalation/Defense Evasion,T1548.003,5402,Successful sudo to ROOT executed.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Reviewed during Sprint 8 QA. Primary trigger evidence retained.
LBL-000002,ALERT-5B982204218E8B15,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:36.705-0400,attack_like,trigger,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Defense Evasion/Persistence/Privilege Escalation/Initial Access,T1078,5501,PAM: Login session opened.,high,Primary trigger evidence for C-LNX-01-CAL-R001,Reviewed during Sprint 8 QA. Primary trigger evidence retained.
LBL-000003,ALERT-50CAAC0A95F045B8,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.307-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Privilege Escalation/Defense Evasion,T1548.003,5402,Successful sudo to ROOT executed.,medium,Primary trigger evidence for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
LBL-000004,ALERT-1CD67E9F7F441169,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.307-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Defense Evasion/Persistence/Privilege Escalation/Initial Access,T1078,5501,PAM: Login session opened.,medium,Primary trigger evidence for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
LBL-000005,ALERT-3C139C9EA59D6AA5,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.311-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2901,New dpkg (Debian Package) requested to install.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
LBL-000006,ALERT-F448F208283FD85E,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.328-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2904,Dpkg (Debian Package) half configured.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
LBL-000007,ALERT-431ECCF4A088C9AB,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.330-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2902,New dpkg (Debian Package) installed.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
LBL-000008,ALERT-CE4A13BE778D3E2D,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:37.335-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2904,Dpkg (Debian Package) half configured.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
LBL-000009,ALERT-BD031D2CEEC3BA5C,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:38.707-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,2902,New dpkg (Debian Package) installed.,medium,Supporting telemetry for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
LBL-000010,ALERT-A57B1C491294A5AE,,C-LNX-01,C-LNX-01-CAL-R001,safesoc-lnx-01,2026-05-14T23:41:39.323-0400,attack_like,supporting,caldera_campaign,caldera,MITRE Caldera,,CAL_LNX_OP1,Thief (1a98b8e6-18ce-4617-8cc5-e65a1a9d490e),6469befa-748a-4b9c-a96d-f191fde47d89;90c2efaa-8205-480d-8bb6-61d90dbaf81b;4e97e699-93d7-4040-b5a3-2e906a58199e;300157e5-f4ad-4569-b533-9d1fa0e74d74;ea713bc4-63f0-491c-9a6f-0b01d560b87e,Campaign,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,5502,PAM: Login session closed.,medium,Primary trigger evidence for C-LNX-01-CAL-R001,Medium-confidence timestamp-derived label; retained after spot-check.
