case_id,case_run_id,case_campaign_id,case_execution_mode,case_tool,case_summary,analyst_expected_conclusion,label_id,phase2_alert_uid,run_id,campaign_id,scenario_id,label,event_role,execution_mode,tool,match_rank,candidate_count,is_primary_candidate,phase3_alert_uid,evidence_id,raw_file_name,raw_line_number,raw_alert_sha256,source_event_id,source_location,event_time_utc,source_time_raw,normalized_agent_name,normalized_rule_id,normalized_rule_description,event_category,event_action,event_outcome,normalized_severity,mitre_technique_ids,normalization_status,link_source
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000001,ALERT-939476A8BF516E30,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,trigger,caldera,MITRE Caldera,1,1,True,alert_6154552463c51101b90bbcf30b46f8c4,evidence_bb0f470c6d17f031b0334b3d503a3f47,raw_alerts_full.jsonl,5603,30e72b0a164d4303a70c274fe18eb320a00cc709e506556ded4ef151625da501,1778816496.12778187,/var/log/auth.log,2026-05-15T03:41:36.705000+00:00,2026-05-14T23:41:36.705-0400,safesoc-lnx-01,5402,Successful sudo to ROOT executed.,privilege_activity,sudo_success,success,low,T1548.003,success,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000002,ALERT-5B982204218E8B15,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,trigger,caldera,MITRE Caldera,1,1,True,alert_d70d2216e6946a7b384d63ba4998bcaf,evidence_cd428158e4e0a2711b8aacc24a352e6d,raw_alerts_full.jsonl,5604,69cdfc0c29edeb9ab2b1dd7c5ae2fed5e0047d504ba66989eadf46a10a31fd3c,1778816496.12778781,/var/log/auth.log,2026-05-15T03:41:36.705000+00:00,2026-05-14T23:41:36.705-0400,safesoc-lnx-01,5501,PAM: Login session opened.,authentication,login_session_opened,success,low,T1078,success,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000003,ALERT-50CAAC0A95F045B8,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,1,True,alert_c2cc910e3ee66eb7b417f0332048a807,evidence_f1e678aaa95d6a86baef270a627fc18e,raw_alerts_full.jsonl,5605,0f1a9844f662e7cd4c95739495f3e42605a0d0e5074192948de2b39d21f35bb3,1778816497.12779255,journald,2026-05-15T03:41:37.307000+00:00,2026-05-14T23:41:37.307-0400,safesoc-lnx-01,5402,Successful sudo to ROOT executed.,privilege_activity,sudo_success,success,low,T1548.003,success,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000004,ALERT-1CD67E9F7F441169,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,1,True,alert_5a7a1b0c0c585b6aa55ee8fdef2593d0,evidence_94f6db0f85f623405ab0985c077460c5,raw_alerts_full.jsonl,5606,281eb35f89972d6fdbcdc6a1eabbc2396e3609cc8dbc3710809c88b974485a20,1778816497.12779830,journald,2026-05-15T03:41:37.307000+00:00,2026-05-14T23:41:37.307-0400,safesoc-lnx-01,5501,PAM: Login session opened.,authentication,login_session_opened,success,low,T1078,success,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000005,ALERT-3C139C9EA59D6AA5,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,1,True,alert_cd0e6f6c65fde6722329ded4854169ba,evidence_93f45af705cb88bc233bf8076fbaacea,raw_alerts_full.jsonl,5607,8ad05fc7a96ba396269e5ea90525942b99b24fe926d65f7277dcabd3d7b09cc7,1778816497.12780285,/var/log/dpkg.log,2026-05-15T03:41:37.311000+00:00,2026-05-14T23:41:37.311-0400,safesoc-lnx-01,2901,New dpkg (Debian Package) requested to install.,system_activity,package_activity,unknown,low,,partial,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000006,ALERT-F448F208283FD85E,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,1,True,alert_0567bf745802a2829deaddb9b0695713,evidence_8bce7caf4e5be01882d4e0d1f0c57376,raw_alerts_full.jsonl,5608,77675d402eae9ed70a4c276c1743d198cdf9869e9b156b158f25de2505fc5884,1778816497.12780697,/var/log/dpkg.log,2026-05-15T03:41:37.328000+00:00,2026-05-14T23:41:37.328-0400,safesoc-lnx-01,2904,Dpkg (Debian Package) half configured.,system_activity,package_activity,unknown,medium,,partial,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000007,ALERT-431ECCF4A088C9AB,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,1,True,alert_ae6608b9e2c22fb748d6201b5d4be3be,evidence_cbbb7ce42782cf955c5c0710727c6da6,raw_alerts_full.jsonl,5609,64c55ef9dab78a2841898925c0ef2d53aa17be253c1ea46a0790971e8df1c128,1778816497.12781192,/var/log/dpkg.log,2026-05-15T03:41:37.330000+00:00,2026-05-14T23:41:37.330-0400,safesoc-lnx-01,2902,New dpkg (Debian Package) installed.,system_activity,package_activity,success,medium,,partial,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000008,ALERT-CE4A13BE778D3E2D,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,1,True,alert_4017c33d02fbf1db35548b824622f880,evidence_4c76669020c94b817d037ee9da13d43f,raw_alerts_full.jsonl,5610,999cba956a67440175907faf23cab0f206de7bbcd8a3c1b1235e9ba0d23a359d,1778816497.12781673,/var/log/dpkg.log,2026-05-15T03:41:37.335000+00:00,2026-05-14T23:41:37.335-0400,safesoc-lnx-01,2904,Dpkg (Debian Package) half configured.,system_activity,package_activity,unknown,medium,,partial,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000009,ALERT-BD031D2CEEC3BA5C,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,1,True,alert_bf2146789d173a6102e330b7587e61b4,evidence_24df8a16776b181da5fb2c91e8f44b32,raw_alerts_full.jsonl,5611,fc0c41a0153dcd6935bbdd1fec60f36ead4e0b96c426e533c7f6276929561847,1778816498.12782166,/var/log/dpkg.log,2026-05-15T03:41:38.707000+00:00,2026-05-14T23:41:38.707-0400,safesoc-lnx-01,2902,New dpkg (Debian Package) installed.,system_activity,package_activity,success,medium,,partial,ground_truth_label_match
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.",LBL-000010,ALERT-A57B1C491294A5AE,C-LNX-01-CAL-R001,C-LNX-01,,attack_like,supporting,caldera,MITRE Caldera,1,2,True,alert_f0cb9b19cbbf4864af8a099dbc956562,evidence_a2f5c2a3c5f9c91919de73b43885e76a,raw_alerts_full.jsonl,5612,e74a028e9a18683a80ee4f47a86f75a46d8bdbe4b8a340b599b68ff180da12e9,1778816499.12782645,/var/log/auth.log,2026-05-15T03:41:39.323000+00:00,2026-05-14T23:41:39.323-0400,safesoc-lnx-01,5502,PAM: Login session closed.,authentication,login_session_closed,success,low,,partial,ground_truth_label_match
